name,color,speed,loopPeriod,bodyCount,bodyLengthRatio,lensAspect,bodySizeVar,spread,bodyTaperStart,cutoffDist,cutoffWobbleAmp,cutoffWobbleFreq,cutoffWobbleSpeed,bodyDistEasing,bodySpeed,flickerRatio,flickerFreq,holeCount,holeSpanRatio,holeThickness,holeSizeVar,holeSizeEasing,holeDistEasing,holeSpawnDist,holeSpawnDistVar,holeRiseDist,holeRiseDelay,holeDriftDist,holeSpreadScale,holeSpeed,holeRotStart,holeRotEnd,cullIslands,islandSlopeStart,islandSlopeEnd,islandCullArea,lensResolution
Butane Torch,"rgb(120,170,255)",1,10,40,0.2,0.6,0.5,0.25,0.4,1.2,0.05,3,1,outQuad,1,0.03,2,7,0.18,0.6,0.4,outExpo,outExpo,0.38,0.15,0.5,0.15,0.18,1,1.1,0,0,true,0.45,1.05,0.02,4
Blowtorch,"rgb(205,228,255)",1,10,46,0.24,0.45,0.5,0.17,0.55,1.2,0.05,3,1,outQuad,1,0.015,2,6,0.16,0.5,0.4,inOutExpo,outExpo,0.45,0.15,0.5,0.15,0.12,1,1.1,0,0,true,0.45,1.05,0.02,4
Roaring Jet,"rgb(110,160,255)",1,10,54,0.18,0.6,0.5,0.55,0.3,1.2,0.05,3,1,outQuad,1,0.05,2,12,0.26,0.8,0.4,outQuart,outExpo,0.3,0.15,0.5,0.15,0.28,0.75,1.1,0,0,true,0.45,1.05,0.02,4
Candle,"rgb(255,183,92)",1,10,30,0.22,0.7,0.5,0.2,0.25,1.2,0.05,3,1,outQuad,0.6,0.04,2,3,0.12,0.9,0.4,outCubic,outExpo,0.4,0.15,0.5,0.15,0.15,1,0.6,0,0,true,0.45,1.05,0.02,4
Pilot Light,"rgb(150,200,255)",1,10,24,0.18,0.6,0.5,0.17,0.45,1.2,0.05,3,1,outQuad,1,0.03,2,3,0.12,0.7,0.4,outExpo,outExpo,0.42,0.15,0.5,0.15,0.1,1,1.1,0,0,true,0.45,1.05,0.02,4
Wispy Tongues,"rgb(140,182,255)",1,10,44,0.16,0.6,0.5,0.45,0.3,1.2,0.05,3,1,outQuad,1,0.06,3,14,0.13,0.4,0.4,outExpo,outExpo,0.3,0.15,0.5,0.15,0.24,0.8,1.1,0,0,true,0.45,1.05,0.02,4
Inferno,"rgb(130,175,255)",1,10,56,0.2,0.6,0.5,0.55,0.28,1.2,0.05,3,1,outQuad,1,0.05,2,12,0.28,0.85,0.4,outQuart,outExpo,0.28,0.15,0.5,0.15,0.32,0.8,1.3,0,0,true,0.45,1.05,0.02,4
Plasma Cutter,"rgb(198,120,255)",1,10,46,0.24,0.5,0.5,0.22,0.5,1.2,0.05,3,1,outQuad,1,0.02,2,8,0.16,0.45,0.4,inOutExpo,outExpo,0.4,0.15,0.5,0.15,0.14,0.9,1.1,0,0,true,0.45,1.05,0.02,4
Drifting Ember,"rgb(255,124,66)",1,10,34,0.17,0.6,0.5,0.4,0.5,1.2,0.05,3,1,outQuad,0.7,0.05,2,9,0.2,0.9,0.4,outCubic,outExpo,0.32,0.15,0.5,0.15,0.4,1,0.7,0,0,true,0.45,1.05,0.02,4
Split Fork,"rgb(120,165,255)",1,10,38,0.19,0.6,0.5,0.45,0.32,1.2,0.05,3,1,outQuad,1,0.03,2,5,0.26,0.55,0.4,outExpo,outExpo,0.34,0.15,0.5,0.15,0.22,0.22,1.1,0,0,true,0.45,1.05,0.02,4
Drifting Ember 2,"rgb(255,124,66)",1,10,24,0.17,0.6,0.5,0.4,0.5,1.2,0.05,3,1,outQuad,0.7,0.05,2,14,0.39,0.9,0.44,outCubic,outExpo,0.1,0,0.28,0.15,0.6,1.25,0.75,0.92,0,true,0.44,0,0.1,4
Drifting Ember 3,"rgb(255,124,66)",1,10,24,0.17,0.6,0.5,0.4,0.5,1.2,0.05,3,1,outQuad,0.7,0.05,2,17,0.39,0.9,0.44,outCubic,outExpo,0.1,0,0.43,0.15,0.54,1.4,0.75,0.92,4.2,true,1.5,1.5,0.1,4
oil fire,"rgb(255,124,66)",0.55,10,61,0.17,0.6,0.5,0.4,0.5,0.88,0.135,5.8,2.8,outQuad,1.15,0.05,2,24,0.24,1.09,0.26,outCubic,outExpo,0.51,0.34,0.3,0,0.49,1.5,1,1.05,4.29,true,0.29,0,0.1,4
